Name,Price,Quantity,Category,Engine,Transmission,GVW,Store,"ECM Miles","YouTube URL","Extra Description","Image URL"
"2020 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",49900.00,,,"Cummins X15 450HP","Eaton EEO-16F112C",52350,"Kansas City, MO","509061.2 (13533.34 hrs)",https://www.youtube.com/watch?v=C6EmJ4vUp4Q,"Tractor, Tandem Axle Day Cab - 2020 Kenworth T680 Tandem Axle Day Cab, Cummins X15 450HP Engine, Eaton EEO-16F112C Transmission, Ai...",https://pix.vanderhaags.com/640/truck-t680-kenworth-4db1bd0894.JPG
"2015 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",24900.00,,,"Cummins X15 450HP","Manual 10 Spd Fuller FRO15210C",52000,"Kansas City, MO","400066 (14999 hrs)",,"2015 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-cascadia-freightliner-27814e149b.JPG
"2019 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",36900.00,,,"Detroit DD13 410HP","Detroit DT12-OA",52000,"Kansas City, MO","492011.04 (12263.25 hrs)",,"Tractor, Tandem Axle Day Cab - 2019 Cascadia Day Cab, Detroit DD13 410HP Engine, Detroit DT12-OA Transmission, 52,000 GVW, 12000# M...",https://pix.vanderhaags.com/640/truck-cascadia-freightliner-955cc14406.JPG
"2017 Freightliner 114SD Truck: Cab & Chassis, Tandem Axle",69900.00,,,"Detroit DD13 469HP","Manual 8LL Fuller RTOF16908LL",68000,"Kansas City, MO","407181 (13628 hrs)",,"Cab & Chassis, Tandem Axle - 2017 Freightliner 114SD Crane Truck, Flatbed: 24'x102""x50"", Detroit DD13 469HP Engine, Manual 8LL Fu...",https://pix.vanderhaags.com/640/truck-114sd-freightliner-54c52da717.JPG
"2006 Freightliner M2 106 Truck: Cab & Chassis, Single Axle",16900.00,,,"Mercedes MBE906","Automatic 6 Spd Allison 3000 HS",33000,"Kansas City, MO","168043 (8221 hrs)",https://www.youtube.com/watch?v=VqpNOXm8hWo,"Cab & Chassis, Single Axle - 2006 Freightliner M2-106 Beverage Truck,23' X 98"" X 102"" Van Box (Reefer unit runs but does not cool...",https://pix.vanderhaags.com/640/truck-m2-106-freightliner-2c40b0ae24.JPG
"2015 Ford F750 Truck: Dump, Single Axle",49900.00,,,"Cummins ISB6.7 200HP","Automatic Allison 2500 RDS",26000,"Kansas City, MO","72687 (7063 hrs)",,"Dump, Single Axle - 2015 Ford F750 w/a 10'x96""x24"" Dump Box, Cummins ISB6.7 200HP Engine, Automatic 6 Spd 2500 RDS Trans...",https://pix.vanderhaags.com/640/truck-f750-ford-0de78d6bcc.JPG
"2018 International LT Truck: Flatbed Truck",69900.00,,,"Cummins X15 450HP","Advantage Auto 10 Spd Fuller FAOM16810C-EA3",52350,"Kansas City, MO","533135 (10924 hrs)",,"Flatbed Truck - 2018 International LT w/a 24'x102"" Flatbed (Price includes 6 Month Protection Plan by Premium 2000),...",https://pix.vanderhaags.com/640/truck-lt-international-1a37638ff5.JPG
"2021 Kenworth T370 Truck: Cab & Chassis, Tandem Axle",64900.00,,,"Paccar PX9 350HP","Manual 10 Spd Fuller FRO14210C",54600,"Kansas City, MO","61343 (5175.6 hrs)",,"Cab & Chassis, Tandem Axle - This blue 2021 Kenworth T370 is a versatile and dependable workhorse ready for your toughest hauling...",https://pix.vanderhaags.com/640/truck-t370-kenworth-518e94c4b9.JPG
"2017 Freightliner 114SD Truck: Flatbed Truck",49900.00,,,"Detroit DD13 370HP","Manual 8LL Fuller RTOF14908LL",54600,"Kansas City, MO","389301 (17416 hrs)",,"Flatbed Truck - Explore this 2017 Freightliner 114SD for your operation. This used flatbed truck is in operable cond...",https://pix.vanderhaags.com/640/truck-114sd-freightliner-f46ed4e9bd.JPG
"2016 Freightliner M2 106 Truck: Cab & Chassis, Tandem Axle",54900.00,,,"Cummins ISL 300HP","Automatic Allison 3500 RDS",58000,"Kansas City, MO","208841 (12991 hrs)",,"Cab & Chassis, Tandem Axle - Freightliner M2-106 Day Cab w/Flatbed (25'x102""x51"" bed), Cummins ISL 300HP Engine, Automatic Alliso...",https://pix.vanderhaags.com/640/truck-m2-106-freightliner-e17a563c25.JPG
"2016 Freightliner M2 106 Truck: Flatbed Truck",54900.00,,,"Cummins ISL 300HP","Automatic Allison 3500 RDS",58000,"Kansas City, MO","200633 (14037 hrs)",,"Flatbed Truck - 2016 Freightliner M2-106 Flatbed Truck, Flatbed: 25'x102""x53"", Cummins ISL 300HP Engine, Automatic A...",https://pix.vanderhaags.com/640/truck-m2-106-freightliner-7c90db1a88.JPG
"2023 Freightliner M2 112 Truck: Tractor, Tandem Axle Day Cab",99900.00,,,"Detroit DD13 450HP","Automatic 6 Spd Allison 4000 RDS",52000,"Kansas City, MO","31884 (1705 hrs)",,"Tractor, Tandem Axle Day Cab - Experience reliability and power with this late-model 2023 FREIGHTLINER BUSINESS CLASS M2-112 day ca...",https://pix.vanderhaags.com/640/truck-m2-112-freightliner-3e1f817c13.JPG
