Name,Price,Quantity,Category,Engine,Transmission,GVW,Store,ECM Miles,YouTube URL,Extra Description,Image URL,URL,Description,Td,Item,Td 2
"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","$69,900.00",,,Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,"Council Bluffs, IA",272698 (3340 hrs),,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-t680-kenworth-e016a9eb7e.JPG,https://www.vanderhaags.com/detailview.php?part=26031798,"Tractor, Tandem Axle Day Cab - This 2024 Kenworth T680 is a powerful, road-ready asset featuring a PACCAR MX-11 11-liter diesel eng...",ECM Miles (Hours):,Item:24KN021,
"2019 Peterbilt 567 Truck: Tractor, Tandem Axle Day Cab","$74,900.00",,,Paccar MX13 425HP,Manual 18 Spd Fuller RTLO18918B,53200,"Council Bluffs, IA",234727 (8596 hrs),,"2019 Peterbilt 567 Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-567-peterbilt-b864f85c68.JPG,https://www.vanderhaags.com/detailview.php?part=25956919,"Tractor, Tandem Axle Day Cab - 2019 Peterbilt 567 Tandem Axle Day Cab, Paccar MX13 425HP Engine, Manual 18 Spd Fuller RTLO18918B Tr...",ECM Miles (Hours):,Item:19PB073,
2012 Hino 338 Truck: Garbage/Roll Off/Refuse,"$59,900.00",,,Hino J08E 260HP,Automatic 4 Spd Allison 2500 RDS,33000,"Council Bluffs, IA",195580,https://www.youtube.com/watch?v=OOO8DZDFiaE,2012 Hino 338 Truck: Garbage/Roll Off/Refuse,https://pix.vanderhaags.com/640/truck-prostar-international-4a7eff550b.jpeg,https://www.vanderhaags.com/detailview.php?part=25433188,Garbage/Roll Off/Refuse - New Swaploader SL-212 \nOptimum Body Lengths: 12'  to 14'\nPotential Body Lengths: 10' to 16'\nHook ...,ECM Miles (Hours):,Item:12HI005,
"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","$44,900.00",,,Detroit DD13 410HP,Automatic 12 Spd Detroit DT12-OB,52000,"Spencer, IA",371333.28 (7571.55 hrs),https://www.youtube.com/watch?v=y__gNmxLWLc,"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-cascadia-freightliner-1aaf5f77ba.jpeg,https://www.vanderhaags.com/detailview.php?part=25927937,"Tractor, Tandem Axle Day Cab - 2022 Freightliner Cascadia Tandem Axle Day Cab, 371,333.28 mi (7571.55 hrs), Detroit DD13 410HP Engi...",ECM Miles (Hours):,Item:22WH026,
"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","$44,900.00",,,Detroit DD13 410HP,Automatic 12 Spd Detroit DT12-OB,52000,"Spencer, IA",590268 (1128.95 hrs),https://www.youtube.com/watch?v=LAf_ViLiXTI,"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-cascadia-freightliner-6f39be1919.jpeg,https://www.vanderhaags.com/detailview.php?part=25927240,"Tractor, Tandem Axle Day Cab - 2020 Freightliner Cascadia Tandem Axle Day Cab, Detroit DD13 410HP Engine, Automatic 12 Spd Detroit ...",ECM Miles (Hours):,Item:22WH024,
"2021 International RH Truck: Tractor, Tandem Axle Day Cab","$29,900.00",,,International A26 450HP,Automatic 12 Spd Eaton EEO-17F112C,52000,"Spencer, IA",468883 (11584 hrs),https://www.youtube.com/watch?v=_unVGptVyXY,"2021 International RH Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-rh-international-37e567f2fb.jpeg,https://www.vanderhaags.com/detailview.php?part=26009908,"Tractor, Tandem Axle Day Cab - Explore this 2021 International RH for your operation. This used day cab truck is powered by a 450 H...",ECM Miles (Hours):,Item:21IH042,
"2021 International RH Truck: Tractor, Tandem Axle Day Cab","$24,900.00",,,International A26 450HP,Automatic 12 Spd Eaton EEO-17F112C,52000,"Spencer, IA",473953 (11602 hrs),https://www.youtube.com/watch?v=pPGWHgoKVrc,"2021 International RH Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-rh-international-6550ab07bd.jpeg,https://www.vanderhaags.com/detailview.php?part=26009890,"Tractor, Tandem Axle Day Cab - Take a closer look at this 2021 International RH. This used day cab truck is powered by an Internati...",ECM Miles (Hours):,Item:21IH041,
"2019 Ford TRANSIT Truck: Vans, Cube & Step","$26,900.00",,,Ford 3.7L NA 275HP,Automatic Ford 6R80,9000,"Spencer, IA",99188,https://www.youtube.com/watch?v=ecWmxbYd-wY,"2019 Ford TRANSIT Truck: Vans, Cube & Step",https://pix.vanderhaags.com/640/truck-transit-ford-20fd885d53.jpeg,https://www.vanderhaags.com/detailview.php?part=25984333,"Vans, Cube & Step",ECM Miles (Hours):,Item:19FD004,
"2020 International LT Truck: Tractor, Tandem Axle Day Cab","$34,900.00",,,Cummins X15 400HP,Eaton EEO-17F112C,52350,"Spencer, IA",604134 (8630 hrs),https://www.youtube.com/watch?v=p3vnNeDjRsM,"2020 International LT Truck: Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-lt-international-f92bb7a23d.jpeg,https://www.vanderhaags.com/detailview.php?part=25927770,"Tractor, Tandem Axle Day Cab - 2020 International LT Tandem Axle Day Cab, Cummins X15 400HP Engine, Eaton EEO-17F112C Transmission,...",ECM Miles (Hours):,Item:20IH052,
"2017 Peterbilt 348 Truck: Cab & Chassis, Tandem Axle","$42,900.00",,,Paccar PX9 330HP,Automatic 6 Spd Allison 3000 RDS,52000,"Spencer, IA",295844 (8143 hrs),https://www.youtube.com/watch?v=wzgn0OWKECc,"2017 Peterbilt 348 Truck: Cab & Chassis, Tandem Axle",https://pix.vanderhaags.com/640/truck-348-peterbilt-c24be3619c.jpeg,https://www.vanderhaags.com/detailview.php?part=25827262,"Cab & Chassis, Tandem Axle - 2017 Peterbilt 348 Cab & Chassis, Paccar PX9 330HP Engine, Automatic 6 Spd Allison 3000 RDS Transmis...",ECM Miles (Hours):,Item:17PB064,
2016 Ottawa T2 Truck: Yard Spotter/Shag,"$44,900.00",,,Cummins ISB6.7 200HP,Automatic Allison 3000 RDS,99711 (15055 hrs),"Spencer, IA",No,https://www.youtube.com/watch?v=R6ofmNyZ1Ow,"Yard Spotter/Shag - 2016 Ottawa T2 Off Road Yard Tactor, Cummins ISB6.7 200HP Engine, Automatic Allison 3000 RDS Transmi...",https://pix.vanderhaags.com/640/truck-t2-ottawa-9722a42433.jpeg,https://www.vanderhaags.com/detailview.php?part=25433026,2016 Ottawa T2 Truck: Yard Spotter/Shag,ECM Miles (Hours):,Item:16MI010,Cruise Control:
2007 Sterling TRUCK TRUCK: Plow/Spreader TRUCK,"$27,900.00",,,CAT C7 301HP,Manual Fuller RTF8908LL,58000,"Spencer, IA",188548 (8359 hrs),,Plow/Spreader Truck,https://pix.vanderhaags.com/640/truck-truck-sterling-01bad4d855.jpeg,https://www.vanderhaags.com/detailview.php?part=26034278,2007 Sterling TRUCK Truck: Plow/Spreader Truck,GVW:,Item:07SL324,ECM Miles (Hours):
2007 Blue Bird VISION Truck: Bus,"$6,900.00",,,CAT C7 210HP,Automatic 4 Spd,31000,"Spencer, IA",120218 (3773 hrs),,Bus,https://pix.vanderhaags.com/640/truck-vision-blue-bird-2a8d971690.JPG,https://www.vanderhaags.com/detailview.php?part=26030261,2007 Blue Bird VISION Truck: Bus,GVW:,Item:07BB014,ECM Miles (Hours):
2006 Blue Bird VISION Truck: Bus,"$6,900.00",,,CAT C7 210HP,Automatic 4 Spd,31000,"Spencer, IA",96495 (3419 hrs),,Bus,https://pix.vanderhaags.com/640/truck-vision-blue-bird-9aa563135e.JPG,https://www.vanderhaags.com/detailview.php?part=26030254,2006 Blue Bird VISION Truck: Bus,GVW:,Item:06BB012,ECM Miles (Hours):
"2022 Gmc TRUCK TRUCK: Vans, Cube & Step","$24,900.00",,,GM 6.6L L8T,Automatic GM 6L90E,12300,"Spencer, IA",,https://www.youtube.com/watch?v=TufYQ8yB_zY,"Vans, Cube & Step - 2022 GMC Savan Cutaway G3500 Cube Van (Van 16'x96""), Roll-Up Door Opening: 88""x71"", Roadside Door, G...",https://pix.vanderhaags.com/640/truck-truck-gmc-59b569bd97.jpeg,https://www.vanderhaags.com/detailview.php?part=25984187,"2022 Gmc TRUCK Truck: Vans, Cube & Step",GVW:,Item:22GM001,ECM Miles (Hours):
"2017 Ford F650 Truck: Dump, Single Axle","$59,900.00",,,Ford 6.8L V10 330HP,Automatic Ford 6R140,25999,"Spencer, IA",21229,https://www.youtube.com/watch?v=NTzlsBEEHtk,"Dump, Single Axle - 2017 Ford F650 Single Axle Dump Truck, Dump Box: 10'x97""x28"", Ford 6.8L V10 362HP Engine, Automatic ...",https://pix.vanderhaags.com/640/truck-f650-ford-0c5782987e.jpeg,https://www.vanderhaags.com/detailview.php?part=25973429,"2017 Ford F650 Truck: Dump, Single Axle",GVW:,Item:17FD011,ECM Miles (Hours):
"1999 Ford E450 Truck: Dump, Single Axle","$19,900.00",,,Ford 7.3 275HP,Automatic,14650,"Spencer, IA",146435,https://www.youtube.com/watch?v=RifJOSQ85E4,"Dump, Single Axle - 1999 Ford E450 Single Axle Dump Truck, 10'x96""x14"" Dump Box, Ford 7.3 275HP Engine, Automatic Transm...",https://pix.vanderhaags.com/640/truck-e450-ford-4d590282d7.jpeg,https://www.vanderhaags.com/detailview.php?part=25926174,"1999 Ford E450 Truck: Dump, Single Axle",GVW:,Item:99FD112,ECM Miles (Hours):
2007 Sterling TRUCK TRUCK: Plow/Spreader TRUCK,"$20,900.00",,,CAT C7 301HP,Manual 8LL Fuller RTF8908LL,58000,"Spencer, IA",164666 (7594 hrs),https://www.youtube.com/watch?v=qq6UWKm6cJo,"Plow/Spreader Truck - This 2007 Sterling LT7500 is a powerhouse built for demanding work, featuring a Caterpillar C7 engin...",https://pix.vanderhaags.com/640/truck-truck-sterling-2ab108fe09.jpeg,https://www.vanderhaags.com/detailview.php?part=26034266,2007 Sterling TRUCK Truck: Plow/Spreader Truck,GVW:,Item:07SL323,ECM Miles (Hours):
"2020 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","$49,900.00",,,Cummins X15 450HP,Eaton EEO-16F112C,52350,"Kansas City, MO",509061.2 (13533.34 hrs),https://www.youtube.com/watch?v=C6EmJ4vUp4Q,"Tractor, Tandem Axle Day Cab - 2020 Kenworth T680 Tandem Axle Day Cab, Cummins X15 450HP Engine, Eaton EEO-16F112C Transmission, Ai...",https://pix.vanderhaags.com/640/truck-t680-kenworth-4db1bd0894.JPG,https://www.vanderhaags.com/detailview.php?part=25888061,"2020 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",GVW:,Item:20KN055,ECM Miles (Hours):
"2015 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","$24,900.00",,,Cummins X15 450HP,Manual 10 Spd Fuller FRO15210C,52000,"Kansas City, MO",400066 (14999 hrs),,"Tractor, Tandem Axle Day Cab",https://pix.vanderhaags.com/640/truck-cascadia-freightliner-27814e149b.JPG,https://www.vanderhaags.com/detailview.php?part=26010150,"2015 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",GVW:,Item:15WH358,ECM Miles (Hours):
"2019 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","$36,900.00",,,Detroit DD13 410HP,Detroit DT12-OA,52000,"Kansas City, MO",492011.04 (12263.25 hrs),,"Tractor, Tandem Axle Day Cab - 2019 Cascadia Day Cab, Detroit DD13 410HP Engine, Detroit DT12-OA Transmission, 52,000 GVW, 12000# M...",https://pix.vanderhaags.com/640/truck-cascadia-freightliner-955cc14406.JPG,https://www.vanderhaags.com/detailview.php?part=25952417,"2019 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",GVW:,Item:19WH140,ECM Miles (Hours):
"2017 Freightliner 114SD Truck: Cab & Chassis, Tandem Axle","$69,900.00",,,Detroit DD13 469HP,Manual 8LL Fuller RTOF16908LL,68000,"Kansas City, MO",407181 (13628 hrs),,"Cab & Chassis, Tandem Axle - 2017 Freightliner 114SD Crane Truck, Flatbed: 24'x102""x50"", Detroit DD13 469HP Engine, Manual 8LL Fu...",https://pix.vanderhaags.com/640/truck-114sd-freightliner-54c52da717.JPG,https://www.vanderhaags.com/detailview.php?part=26009599,"2017 Freightliner 114SD Truck: Cab & Chassis, Tandem Axle",GVW:,Item:17WH176,ECM Miles (Hours):
"2006 Freightliner M2 106 Truck: Cab & Chassis, Single Axle","$16,900.00",,,Mercedes MBE906,Automatic 6 Spd Allison 3000 HS,33000,"Kansas City, MO",168043 (8221 hrs),https://www.youtube.com/watch?v=VqpNOXm8hWo,"Cab & Chassis, Single Axle - 2006 Freightliner M2-106 Beverage Truck,23' X 98"" X 102"" Van Box (Reefer unit runs but does not cool...",https://pix.vanderhaags.com/640/truck-m2-106-freightliner-2c40b0ae24.JPG,https://www.vanderhaags.com/detailview.php?part=25786742,"2006 Freightliner M2 106 Truck: Cab & Chassis, Single Axle",GVW:,Item:06WH592,ECM Miles (Hours):
"2015 Ford F750 Truck: Dump, Single Axle","$49,900.00",,,Cummins ISB6.7 200HP,Automatic Allison 2500 RDS,26000,"Kansas City, MO",72687 (7063 hrs),,"Dump, Single Axle - 2015 Ford F750 w/a 10'x96""x24"" Dump Box, Cummins ISB6.7 200HP Engine, Automatic 6 Spd 2500 RDS Trans...",https://pix.vanderhaags.com/640/truck-f750-ford-0de78d6bcc.JPG,https://www.vanderhaags.com/detailview.php?part=25964750,"2015 Ford F750 Truck: Dump, Single Axle",GVW:,Item:15FD021,ECM Miles (Hours):
2018 International LT Truck: Flatbed Truck,"$69,900.00",,,Cummins X15 450HP,Advantage Auto 10 Spd Fuller FAOM16810C-EA3,52350,"Kansas City, MO",533135 (10924 hrs),,"Flatbed Truck - 2018 International LT w/a 24'x102"" Flatbed (Price includes 6 Month Protection Plan by Premium 2000),...",https://pix.vanderhaags.com/640/truck-lt-international-1a37638ff5.JPG,https://www.vanderhaags.com/detailview.php?part=25547653,2018 International LT Truck: Flatbed Truck,GVW:,Item:18IH058,ECM Miles (Hours):
"2021 Kenworth T370 Truck: Cab & Chassis, Tandem Axle","$64,900.00",,,Paccar PX9 350HP,Manual 10 Spd Fuller FRO14210C,54600,"Kansas City, MO",61343 (5175.6 hrs),,"Cab & Chassis, Tandem Axle - This blue 2021 Kenworth T370 is a versatile and dependable workhorse ready for your toughest hauling...",https://pix.vanderhaags.com/640/truck-t370-kenworth-518e94c4b9.JPG,https://www.vanderhaags.com/detailview.php?part=26034077,"2021 Kenworth T370 Truck: Cab & Chassis, Tandem Axle",GVW:,Item:21KN029,ECM Miles (Hours):
2017 Freightliner 114SD Truck: Flatbed Truck,"$49,900.00",,,Detroit DD13 370HP,Manual 8LL Fuller RTOF14908LL,54600,"Kansas City, MO",389301 (17416 hrs),,Flatbed Truck - Explore this 2017 Freightliner 114SD for your operation. This used flatbed truck is in operable cond...,https://pix.vanderhaags.com/640/truck-114sd-freightliner-f46ed4e9bd.JPG,https://www.vanderhaags.com/detailview.php?part=26009536,2017 Freightliner 114SD Truck: Flatbed Truck,GVW:,Item:17WH174,ECM Miles (Hours):
"2016 Freightliner M2 106 Truck: Cab & Chassis, Tandem Axle","$54,900.00",,,Cummins ISL 300HP,Automatic Allison 3500 RDS,58000,"Kansas City, MO",208841 (12991 hrs),,"Cab & Chassis, Tandem Axle - Freightliner M2-106 Day Cab w/Flatbed (25'x102""x51"" bed), Cummins ISL 300HP Engine, Automatic Alliso...",https://pix.vanderhaags.com/640/truck-m2-106-freightliner-e17a563c25.JPG,https://www.vanderhaags.com/detailview.php?part=25931686,"2016 Freightliner M2 106 Truck: Cab & Chassis, Tandem Axle",GVW:,Item:16WH319,ECM Miles (Hours):
2016 Freightliner M2 106 Truck: Flatbed Truck,"$54,900.00",,,Cummins ISL 300HP,Automatic Allison 3500 RDS,58000,"Kansas City, MO",200633 (14037 hrs),,"Flatbed Truck - 2016 Freightliner M2-106 Flatbed Truck, Flatbed: 25'x102""x53"", Cummins ISL 300HP Engine, Automatic A...",https://pix.vanderhaags.com/640/truck-m2-106-freightliner-7c90db1a88.JPG,https://www.vanderhaags.com/detailview.php?part=25916309,2016 Freightliner M2 106 Truck: Flatbed Truck,GVW:,Item:16WH314,ECM Miles (Hours):
"2023 Freightliner M2 112 Truck: Tractor, Tandem Axle Day Cab","$99,900.00",,,Detroit DD13 450HP,Automatic 6 Spd Allison 4000 RDS,52000,"Kansas City, MO",31884 (1705 hrs),,"Tractor, Tandem Axle Day Cab - Experience reliability and power with this late-model 2023 FREIGHTLINER BUSINESS CLASS M2-112 day ca...",https://pix.vanderhaags.com/640/truck-m2-112-freightliner-3e1f817c13.JPG,https://www.vanderhaags.com/detailview.php?part=26025039,"2023 Freightliner M2 112 Truck: Tractor, Tandem Axle Day Cab",GVW:,Item:23WH015,ECM Miles (Hours):
