not url,Name,Description,Engine,Transmission,gvw,Td,Item,Store,Price,ecm_miles ,Image_url,extra_description,youtube_url,
https://www.vanderhaags.com/detailview.php?part=26031798,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - This 2024 Kenworth T680 is a powerful, road-ready asset featuring a PACCAR MX-11 11-liter diesel eng...",Paccar MX11 430HP,Automatic 12 Spd Paccar PO-16F112C,51200,ECM Miles (Hours):,Item:24KN021,"Council Bluffs, IA",$69900.00,272698 (3340 hrs),https://pix.vanderhaags.com/640/truck-t680-kenworth-e016a9eb7e.JPG,"2024 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab",,
https://www.vanderhaags.com/detailview.php?part=25956919,"2019 Peterbilt 567 Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - 2019 Peterbilt 567 Tandem Axle Day Cab, Paccar MX13 425HP Engine, Manual 18 Spd Fuller RTLO18918B Tr...",Paccar MX13 425HP,Manual 18 Spd Fuller RTLO18918B,53200,ECM Miles (Hours):,Item:19PB073,"Council Bluffs, IA",$74900.00,234727 (8596 hrs),https://pix.vanderhaags.com/640/truck-567-peterbilt-b864f85c68.JPG,"2019 Peterbilt 567 Truck: Tractor, Tandem Axle Day Cab",,
https://www.vanderhaags.com/detailview.php?part=25433188,2012 Hino 338 Truck: Garbage/Roll Off/Refuse,Garbage/Roll Off/Refuse - New Swaploader SL-212 \nOptimum Body Lengths: 12'  to 14'\nPotential Body Lengths: 10' to 16'\nHook ...,Hino J08E 260HP,Automatic 4 Spd Allison 2500 RDS,33000,ECM Miles (Hours):,Item:12HI005,"Council Bluffs, IA",$59900.00,195580,https://pix.vanderhaags.com/640/truck-prostar-international-4a7eff550b.jpeg,2012 Hino 338 Truck: Garbage/Roll Off/Refuse,https://www.youtube.com/watch?v=OOO8DZDFiaE,
https://www.vanderhaags.com/detailview.php?part=25927937,"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - 2022 Freightliner Cascadia Tandem Axle Day Cab, 371,333.28 mi (7571.55 hrs), Detroit DD13 410HP Engi...",Detroit DD13 410HP,Automatic 12 Spd Detroit DT12-OB,52000,ECM Miles (Hours):,Item:22WH026,"Spencer, IA",$44900.00,371333.28 (7571.55 hrs),https://pix.vanderhaags.com/640/truck-cascadia-freightliner-1aaf5f77ba.jpeg,"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",https://www.youtube.com/watch?v=y__gNmxLWLc,
https://www.vanderhaags.com/detailview.php?part=25927240,"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - 2020 Freightliner Cascadia Tandem Axle Day Cab, Detroit DD13 410HP Engine, Automatic 12 Spd Detroit ...",Detroit DD13 410HP,Automatic 12 Spd Detroit DT12-OB,52000,ECM Miles (Hours):,Item:22WH024,"Spencer, IA",$44900.00,590268 (1128.95 hrs),https://pix.vanderhaags.com/640/truck-cascadia-freightliner-6f39be1919.jpeg,"2022 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab",https://www.youtube.com/watch?v=LAf_ViLiXTI,
https://www.vanderhaags.com/detailview.php?part=26009908,"2021 International RH Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - Explore this 2021 International RH for your operation. This used day cab truck is powered by a 450 H...",International A26 450HP,Automatic 12 Spd Eaton EEO-17F112C,52000,ECM Miles (Hours):,Item:21IH042,"Spencer, IA",$29900.00,468883 (11584 hrs),https://pix.vanderhaags.com/640/truck-rh-international-37e567f2fb.jpeg,"2021 International RH Truck: Tractor, Tandem Axle Day Cab",https://www.youtube.com/watch?v=_unVGptVyXY,
https://www.vanderhaags.com/detailview.php?part=26009890,"2021 International RH Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - Take a closer look at this 2021 International RH. This used day cab truck is powered by an Internati...",International A26 450HP,Automatic 12 Spd Eaton EEO-17F112C,52000,ECM Miles (Hours):,Item:21IH041,"Spencer, IA",$24900.00,473953 (11602 hrs),https://pix.vanderhaags.com/640/truck-rh-international-6550ab07bd.jpeg,"2021 International RH Truck: Tractor, Tandem Axle Day Cab",https://www.youtube.com/watch?v=pPGWHgoKVrc,
https://www.vanderhaags.com/detailview.php?part=25984333,"2019 Ford TRANSIT Truck: Vans, Cube & Step","Vans, Cube & Step",Ford 3.7L NA 275HP,Automatic Ford 6R80,9000,ECM Miles (Hours):,Item:19FD004,"Spencer, IA",$26900.00,99188,https://pix.vanderhaags.com/640/truck-transit-ford-20fd885d53.jpeg,"2019 Ford TRANSIT Truck: Vans, Cube & Step",https://www.youtube.com/watch?v=ecWmxbYd-wY,
https://www.vanderhaags.com/detailview.php?part=25927770,"2020 International LT Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - 2020 International LT Tandem Axle Day Cab, Cummins X15 400HP Engine, Eaton EEO-17F112C Transmission,...",Cummins X15 400HP,Eaton EEO-17F112C,52350,ECM Miles (Hours):,Item:20IH052,"Spencer, IA",$34900.00,604134 (8630 hrs),https://pix.vanderhaags.com/640/truck-lt-international-f92bb7a23d.jpeg,"2020 International LT Truck: Tractor, Tandem Axle Day Cab",https://www.youtube.com/watch?v=p3vnNeDjRsM,
https://www.vanderhaags.com/detailview.php?part=25827262,"2017 Peterbilt 348 Truck: Cab & Chassis, Tandem Axle","Cab & Chassis, Tandem Axle - 2017 Peterbilt 348 Cab & Chassis, Paccar PX9 330HP Engine, Automatic 6 Spd Allison 3000 RDS Transmis...",Paccar PX9 330HP,Automatic 6 Spd Allison 3000 RDS,52000,ECM Miles (Hours):,Item:17PB064,"Spencer, IA",$42900.00,295844 (8143 hrs),https://pix.vanderhaags.com/640/truck-348-peterbilt-c24be3619c.jpeg,"2017 Peterbilt 348 Truck: Cab & Chassis, Tandem Axle",https://www.youtube.com/watch?v=wzgn0OWKECc,
,,,,,,,,,,,,,,
Image,URL,Description,Name,extra_description,Engine,Transmission,Td,gvw,Td,Item,Store,Price,ecm_miles ,youtube_url
https://pix.vanderhaags.com/640/truck-t2-ottawa-9722a42433.jpeg,https://www.vanderhaags.com/detailview.php?part=25433026,2016 Ottawa T2 Truck: Yard Spotter/Shag,2016 Ottawa T2 Truck: Yard Spotter/Shag,"Yard Spotter/Shag - 2016 Ottawa T2 Off Road Yard Tactor, Cummins ISB6.7 200HP Engine, Automatic Allison 3000 RDS Transmi...",Cummins ISB6.7 200HP,Automatic Allison 3000 RDS,ECM Miles (Hours):,99711 (15055 hrs),Cruise Control:,Item:16MI010,"Spencer, IA",$44900.00,No,https://www.youtube.com/watch?v=R6ofmNyZ1Ow
https://pix.vanderhaags.com/640/truck-truck-sterling-01bad4d855.jpeg,https://www.vanderhaags.com/detailview.php?part=26034278,2007 Sterling TRUCK Truck: Plow/Spreader Truck,2007 Sterling TRUCK TRUCK: Plow/Spreader TRUCK,Plow/Spreader Truck,CAT C7 301HP,Manual Fuller RTF8908LL,GVW:,58000,ECM Miles (Hours):,Item:07SL324,"Spencer, IA",$27900.00,188548 (8359 hrs),
https://pix.vanderhaags.com/640/truck-vision-blue-bird-2a8d971690.JPG,https://www.vanderhaags.com/detailview.php?part=26030261,2007 Blue Bird VISION Truck: Bus,2007 Blue Bird VISION Truck: Bus,Bus,CAT C7 210HP,Automatic 4 Spd,GVW:,31000,ECM Miles (Hours):,Item:07BB014,"Spencer, IA",$6900.00,120218 (3773 hrs),
https://pix.vanderhaags.com/640/truck-vision-blue-bird-9aa563135e.JPG,https://www.vanderhaags.com/detailview.php?part=26030254,2006 Blue Bird VISION Truck: Bus,2006 Blue Bird VISION Truck: Bus,Bus,CAT C7 210HP,Automatic 4 Spd,GVW:,31000,ECM Miles (Hours):,Item:06BB012,"Spencer, IA",$6900.00,96495 (3419 hrs),
https://pix.vanderhaags.com/640/truck-truck-gmc-59b569bd97.jpeg,https://www.vanderhaags.com/detailview.php?part=25984187,"2022 Gmc TRUCK Truck: Vans, Cube & Step","2022 Gmc TRUCK TRUCK: Vans, Cube & Step","Vans, Cube & Step - 2022 GMC Savan Cutaway G3500 Cube Van (Van 16'x96""), Roll-Up Door Opening: 88""x71"", Roadside Door, G...",GM 6.6L L8T,Automatic GM 6L90E,GVW:,12300,ECM Miles (Hours):,Item:22GM001,"Spencer, IA",$24900.00,,https://www.youtube.com/watch?v=TufYQ8yB_zY
https://pix.vanderhaags.com/640/truck-f650-ford-0c5782987e.jpeg,https://www.vanderhaags.com/detailview.php?part=25973429,"2017 Ford F650 Truck: Dump, Single Axle","2017 Ford F650 Truck: Dump, Single Axle","Dump, Single Axle - 2017 Ford F650 Single Axle Dump Truck, Dump Box: 10'x97""x28"", Ford 6.8L V10 362HP Engine, Automatic ...",Ford 6.8L V10 330HP,Automatic Ford 6R140,GVW:,25999,ECM Miles (Hours):,Item:17FD011,"Spencer, IA",$59900.00,21229,https://www.youtube.com/watch?v=NTzlsBEEHtk
https://pix.vanderhaags.com/640/truck-e450-ford-4d590282d7.jpeg,https://www.vanderhaags.com/detailview.php?part=25926174,"1999 Ford E450 Truck: Dump, Single Axle","1999 Ford E450 Truck: Dump, Single Axle","Dump, Single Axle - 1999 Ford E450 Single Axle Dump Truck, 10'x96""x14"" Dump Box, Ford 7.3 275HP Engine, Automatic Transm...",Ford 7.3 275HP,Automatic,GVW:,14650,ECM Miles (Hours):,Item:99FD112,"Spencer, IA",$19900.00,146435,https://www.youtube.com/watch?v=RifJOSQ85E4
https://pix.vanderhaags.com/640/truck-truck-sterling-2ab108fe09.jpeg,https://www.vanderhaags.com/detailview.php?part=26034266,2007 Sterling TRUCK Truck: Plow/Spreader Truck,2007 Sterling TRUCK TRUCK: Plow/Spreader TRUCK,"Plow/Spreader Truck - This 2007 Sterling LT7500 is a powerhouse built for demanding work, featuring a Caterpillar C7 engin...",CAT C7 301HP,Manual 8LL Fuller RTF8908LL,GVW:,58000,ECM Miles (Hours):,Item:07SL323,"Spencer, IA",$20900.00,164666 (7594 hrs),https://www.youtube.com/watch?v=qq6UWKm6cJo
https://pix.vanderhaags.com/640/truck-t680-kenworth-4db1bd0894.JPG,https://www.vanderhaags.com/detailview.php?part=25888061,"2020 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","2020 Kenworth T680 Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - 2020 Kenworth T680 Tandem Axle Day Cab, Cummins X15 450HP Engine, Eaton EEO-16F112C Transmission, Ai...",Cummins X15 450HP,Eaton EEO-16F112C,GVW:,52350,ECM Miles (Hours):,Item:20KN055,"Kansas City, MO",$49900.00,509061.2 (13533.34 hrs),https://www.youtube.com/watch?v=C6EmJ4vUp4Q
https://pix.vanderhaags.com/640/truck-cascadia-freightliner-27814e149b.JPG,https://www.vanderhaags.com/detailview.php?part=26010150,"2015 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","2015 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab",Cummins X15 450HP,Manual 10 Spd Fuller FRO15210C,GVW:,52000,ECM Miles (Hours):,Item:15WH358,"Kansas City, MO",$24900.00,400066 (14999 hrs),
https://pix.vanderhaags.com/640/truck-cascadia-freightliner-955cc14406.JPG,https://www.vanderhaags.com/detailview.php?part=25952417,"2019 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","2019 Freightliner CASCADIA Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - 2019 Cascadia Day Cab, Detroit DD13 410HP Engine, Detroit DT12-OA Transmission, 52,000 GVW, 12000# M...",Detroit DD13 410HP,Detroit DT12-OA,GVW:,52000,ECM Miles (Hours):,Item:19WH140,"Kansas City, MO",$36900.00,492011.04 (12263.25 hrs),
https://pix.vanderhaags.com/640/truck-114sd-freightliner-54c52da717.JPG,https://www.vanderhaags.com/detailview.php?part=26009599,"2017 Freightliner 114SD Truck: Cab & Chassis, Tandem Axle","2017 Freightliner 114SD Truck: Cab & Chassis, Tandem Axle","Cab & Chassis, Tandem Axle - 2017 Freightliner 114SD Crane Truck, Flatbed: 24'x102""x50"", Detroit DD13 469HP Engine, Manual 8LL Fu...",Detroit DD13 469HP,Manual 8LL Fuller RTOF16908LL,GVW:,68000,ECM Miles (Hours):,Item:17WH176,"Kansas City, MO",$69900.00,407181 (13628 hrs),
https://pix.vanderhaags.com/640/truck-m2-106-freightliner-2c40b0ae24.JPG,https://www.vanderhaags.com/detailview.php?part=25786742,"2006 Freightliner M2 106 Truck: Cab & Chassis, Single Axle","2006 Freightliner M2 106 Truck: Cab & Chassis, Single Axle","Cab & Chassis, Single Axle - 2006 Freightliner M2-106 Beverage Truck,23' X 98"" X 102"" Van Box (Reefer unit runs but does not cool...",Mercedes MBE906,Automatic 6 Spd Allison 3000 HS,GVW:,33000,ECM Miles (Hours):,Item:06WH592,"Kansas City, MO",$16900.00,168043 (8221 hrs),https://www.youtube.com/watch?v=VqpNOXm8hWo
https://pix.vanderhaags.com/640/truck-f750-ford-0de78d6bcc.JPG,https://www.vanderhaags.com/detailview.php?part=25964750,"2015 Ford F750 Truck: Dump, Single Axle","2015 Ford F750 Truck: Dump, Single Axle","Dump, Single Axle - 2015 Ford F750 w/a 10'x96""x24"" Dump Box, Cummins ISB6.7 200HP Engine, Automatic 6 Spd 2500 RDS Trans...",Cummins ISB6.7 200HP,Automatic Allison 2500 RDS,GVW:,26000,ECM Miles (Hours):,Item:15FD021,"Kansas City, MO",$49900.00,72687 (7063 hrs),
https://pix.vanderhaags.com/640/truck-lt-international-1a37638ff5.JPG,https://www.vanderhaags.com/detailview.php?part=25547653,2018 International LT Truck: Flatbed Truck,2018 International LT Truck: Flatbed Truck,"Flatbed Truck - 2018 International LT w/a 24'x102"" Flatbed (Price includes 6 Month Protection Plan by Premium 2000),...",Cummins X15 450HP,Advantage Auto 10 Spd Fuller FAOM16810C-EA3,GVW:,52350,ECM Miles (Hours):,Item:18IH058,"Kansas City, MO",$69900.00,533135 (10924 hrs),
https://pix.vanderhaags.com/640/truck-t370-kenworth-518e94c4b9.JPG,https://www.vanderhaags.com/detailview.php?part=26034077,"2021 Kenworth T370 Truck: Cab & Chassis, Tandem Axle","2021 Kenworth T370 Truck: Cab & Chassis, Tandem Axle","Cab & Chassis, Tandem Axle - This blue 2021 Kenworth T370 is a versatile and dependable workhorse ready for your toughest hauling...",Paccar PX9 350HP,Manual 10 Spd Fuller FRO14210C,GVW:,54600,ECM Miles (Hours):,Item:21KN029,"Kansas City, MO",$64900.00,61343 (5175.6 hrs),
https://pix.vanderhaags.com/640/truck-114sd-freightliner-f46ed4e9bd.JPG,https://www.vanderhaags.com/detailview.php?part=26009536,2017 Freightliner 114SD Truck: Flatbed Truck,2017 Freightliner 114SD Truck: Flatbed Truck,Flatbed Truck - Explore this 2017 Freightliner 114SD for your operation. This used flatbed truck is in operable cond...,Detroit DD13 370HP,Manual 8LL Fuller RTOF14908LL,GVW:,54600,ECM Miles (Hours):,Item:17WH174,"Kansas City, MO",$49900.00,389301 (17416 hrs),
https://pix.vanderhaags.com/640/truck-m2-106-freightliner-e17a563c25.JPG,https://www.vanderhaags.com/detailview.php?part=25931686,"2016 Freightliner M2 106 Truck: Cab & Chassis, Tandem Axle","2016 Freightliner M2 106 Truck: Cab & Chassis, Tandem Axle","Cab & Chassis, Tandem Axle - Freightliner M2-106 Day Cab w/Flatbed (25'x102""x51"" bed), Cummins ISL 300HP Engine, Automatic Alliso...",Cummins ISL 300HP,Automatic Allison 3500 RDS,GVW:,58000,ECM Miles (Hours):,Item:16WH319,"Kansas City, MO",$54900.00,208841 (12991 hrs),
https://pix.vanderhaags.com/640/truck-m2-106-freightliner-7c90db1a88.JPG,https://www.vanderhaags.com/detailview.php?part=25916309,2016 Freightliner M2 106 Truck: Flatbed Truck,2016 Freightliner M2 106 Truck: Flatbed Truck,"Flatbed Truck - 2016 Freightliner M2-106 Flatbed Truck, Flatbed: 25'x102""x53"", Cummins ISL 300HP Engine, Automatic A...",Cummins ISL 300HP,Automatic Allison 3500 RDS,GVW:,58000,ECM Miles (Hours):,Item:16WH314,"Kansas City, MO",$54900.00,200633 (14037 hrs),
https://pix.vanderhaags.com/640/truck-m2-112-freightliner-3e1f817c13.JPG,https://www.vanderhaags.com/detailview.php?part=26025039,"2023 Freightliner M2 112 Truck: Tractor, Tandem Axle Day Cab","2023 Freightliner M2 112 Truck: Tractor, Tandem Axle Day Cab","Tractor, Tandem Axle Day Cab - Experience reliability and power with this late-model 2023 FREIGHTLINER BUSINESS CLASS M2-112 day ca...",Detroit DD13 450HP,Automatic 6 Spd Allison 4000 RDS,GVW:,52000,ECM Miles (Hours):,Item:23WH015,"Kansas City, MO",$99900.00,31884 (1705 hrs),
